timestamp,dvol,lee_mykland_jump,lee_mykland_jump_standard,T_statistic,L_statistic
2024-01-20 09:00:00,46.55,0,0,-14.074208776672712,-0.18462245845198338
2024-01-20 10:00:00,46.18,0,0,-9.706778368385466,-1.3721785506151023
2024-01-20 11:00:00,46.46,0,0,-10.943906662938122,1.0357887044951435
2024-01-20 12:00:00,47.23,0,0,-4.466979127420132,2.7969420679713726
2024-01-20 13:00:00,47.33,0,0,-13.42993524706677,0.35980806728301795
2024-01-20 14:00:00,47.49,0,0,-12.615251206398774,0.5813303138304465
2024-01-20 15:00:00,47.82,0,0,-10.345019299920574,1.1986332766997654
2024-01-20 16:00:00,47.63,0,0,-12.211295096069598,-0.6911707680429863
2024-01-20 17:00:00,47.65,0,0,-14.483517222808954,0.07332664069594583
2024-01-20 18:00:00,47.67,0,0,-14.481574019139167,0.07385502080521836
2024-01-20 19:00:00,47.7,0,0,-14.328005763493353,0.11561204965426398
2024-01-20 20:00:00,47.64,0,0,-13.889840148870512,-0.23475447354598525
2024-01-20 21:00:00,48.09,0,0,-8.27576880947862,1.7612870104542895
2024-01-20 22:00:00,48.12,0,0,-14.323488191980683,0.11684043089222805
2024-01-20 23:00:00,47.96,0,0,-12.458518505832341,-0.6239477927593978
2024-01-21 00:00:00,48.08,0,0,-13.032707141248512,0.4678190973266272
2024-01-21 01:00:00,47.49,0,0,-6.275004584673005,-2.3053185168616737
2024-01-21 02:00:00,47.36,0,0,-12.873072061480359,-0.511225767560432
2024-01-21 03:00:00,47.18,0,0,-12.129709247426788,-0.7133549272699361
2024-01-21 04:00:00,47.17,0,0,-14.607044954010808,-0.039737986492895165
2024-01-21 05:00:00,47.92,0,0,-3.877279250410159,2.95728845383758
2024-01-21 06:00:00,47.98,0,0,-13.891500346050101,0.23430304625567877
2024-01-21 07:00:00,48.08,0,0,-13.319698253770245,0.38978281232363127
2024-01-21 08:00:00,47.77,0,0,-10.304752987457414,-1.2095821643074154
2024-01-21 09:00:00,47.47,0,0,-10.435106714635982,-1.1741374408944592
2024-01-21 10:00:00,46.52,0,0,-1.0067646094267504,-3.7378154069573952
2024-01-21 11:00:00,46.56,0,0,-14.168987082686746,0.15885111370467134
2024-01-21 12:00:00,46.89,0,0,-9.92594021449248,1.312585847083928
2024-01-21 13:00:00,46.62,0,0,-10.760796080394373,-1.0855786421726266
2024-01-21 14:00:00,47.0,0,0,-9.16361447057061,1.5198712521791915
2024-01-21 15:00:00,47.51,0,0,-7.377586623647202,2.0055133923177584
2024-01-21 16:00:00,47.29,0,0,-11.588824084734778,-0.8604280137458429
2024-01-21 17:00:00,47.78,0,0,-7.749161679075715,1.9044777307230891
2024-01-21 18:00:00,47.88,0,0,-13.329999555617578,0.3869817662570933
2024-01-21 19:00:00,47.88,0,0,-14.753187853464976,0.0
2024-01-21 20:00:00,47.66,0,0,-11.586214923699487,-0.8611374755559307
2024-01-21 21:00:00,47.33,0,0,-9.971210235434725,-1.300276391835298
2024-01-21 22:00:00,47.61,0,0,-10.701678308213122,1.1016534651110164
2024-01-21 23:00:00,47.82,0,0,-11.732176203596495,0.8214488735732386
2024-01-22 00:00:00,47.3,0,0,-7.241388302301164,-2.0425473301568062
2024-01-22 01:00:00,47.93,0,0,-5.761154567797331,2.4450404267611234
2024-01-22 02:00:00,47.98,0,0,-14.043256166465932,0.19303884002721458
